@N: MF248 |Running in 64-bit mode.
@N: MF667 |Clock conversion disabled 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\component\work\adcfifo\adcfifo_0\rtl\vlog\core\corefifo_sync_scntr.v":259:3:259:8|Removing sequential instance adcfifo.ADCFIFO_0.genblk15\.fifo_corefifo_sync_scntr.rdcnt_1[6:0] of view:PrimLib.dffr(prim) in hierarchy view:work.adc_datapath_32s_24s(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\component\work\adcfifo\adcfifo_0\rtl\vlog\core\corefifo_sync_scntr.v":432:9:432:14|Removing sequential instance adcfifo.ADCFIFO_0.genblk15\.fifo_corefifo_sync_scntr.genblk5\.aempty_r of view:PrimLib.dffse(prim) in hierarchy view:work.adc_datapath_32s_24s(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\component\work\adcfifo\adcfifo_0\rtl\vlog\core\corefifo_sync_scntr.v":444:7:444:12|Removing sequential instance adcfifo.ADCFIFO_0.genblk15\.fifo_corefifo_sync_scntr.genblk5\.afull_r of view:PrimLib.dffre(prim) in hierarchy view:work.adc_datapath_32s_24s(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\component\work\adcfifo\adcfifo_0\rtl\vlog\core\corefifo_sync_scntr.v":369:3:369:8|Removing sequential instance adcfifo.ADCFIFO_0.genblk15\.fifo_corefifo_sync_scntr.full_reg of view:PrimLib.dffr(prim) in hierarchy view:work.adc_datapath_32s_24s(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\component\work\adcfifo\adcfifo_0\rtl\vlog\core\corefifo_sync_scntr.v":444:7:444:12|Removing sequential instance adcfifo.ADCFIFO_0.genblk15\.fifo_corefifo_sync_scntr.genblk5\.overflow_r of view:PrimLib.dffr(prim) in hierarchy view:work.adc_datapath_32s_24s(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\component\work\adcfifo\adcfifo_0\rtl\vlog\core\corefifo_sync_scntr.v":391:4:391:9|Removing sequential instance adcfifo.ADCFIFO_0.genblk15\.fifo_corefifo_sync_scntr.underflow_r of view:PrimLib.dffr(prim) in hierarchy view:work.adc_datapath_32s_24s(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\component\work\pdmafifo\pdmafifo_0\rtl\vlog\core\corefifo_sync.v":348:16:348:21|Removing sequential instance pdma_fifo.PDMAFIFO_0.genblk15\.U_corefifo_sync.genblk1\.aempty_r of view:PrimLib.dffs(prim) in hierarchy view:work.pdma_if_Z10(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\component\work\pdmafifo\pdmafifo_0\rtl\vlog\core\corefifo_sync.v":385:16:385:21|Removing sequential instance pdma_fifo.PDMAFIFO_0.genblk15\.U_corefifo_sync.genblk1\.afull_r of view:PrimLib.dffr(prim) in hierarchy view:work.pdma_if_Z10(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\component\work\pdmafifo\pdmafifo_0\rtl\vlog\core\corefifo_sync.v":348:16:348:21|Removing sequential instance pdma_fifo.PDMAFIFO_0.genblk15\.U_corefifo_sync.genblk1\.rdcnt_r[8:0] of view:PrimLib.dffr(prim) in hierarchy view:work.pdma_if_Z10(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\component\work\pdmafifo\pdmafifo_0\rtl\vlog\core\corefifo_sync.v":385:16:385:21|Removing sequential instance pdma_fifo.PDMAFIFO_0.genblk15\.U_corefifo_sync.genblk1\.wrcnt_r[7:0] of view:PrimLib.dffre(prim) in hierarchy view:work.pdma_if_Z10(verilog) because there are no references to its outputs 
@N: MF236 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\hdl\adc_artifact_cancel.v":196:92:196:92|Generating a type div divider 
@N: MF236 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\hdl\adc_artifact_cancel.v":196:92:196:92|Generating a type div divider 
@N: BN115 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\hdl\adc_artifact_cancel.v":196:92:196:92|Removing instance un16_mem_wr_data.if_generate_plus\.mult1_un1_sum_1 of view:DECOMP.PM_Mario_Libero_ADD__4_5__m2s050fbga484std(DECOMP) because there are no references to its outputs 
@N: BN115 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\hdl\adc_artifact_cancel.v":196:92:196:92|Removing instance un16_mem_wr_data.if_generate_plus\.mult1_un1_sum_1 of view:DECOMP.PM_Mario_Libero_ADD__4_5__m2s050fbga484std(DECOMP) because there are no references to its outputs 
